Date, Open, High, Low, Close
05/31/12, 12414.41, 12489.87, 12316.48, 12393.45
05/30/12, 12579.02, 12579.10, 12396.40, 12419.86
05/29/12, 12454.83, 12611.61, 12454.60, 12580.69
05/25/12, 12530.74, 12533.12, 12421.53, 12454.83
05/24/12, 12491.91, 12539.59, 12419.63, 12529.75
05/23/12, 12501.52, 12508.30, 12311.56, 12496.15
05/22/12, 12505.38, 12575.96, 12447.33, 12502.81
05/21/12, 12369.15, 12508.11, 12367.72, 12504.48
05/18/12, 12443.02, 12492.97, 12336.76, 12369.38
05/17/12, 12598.32, 12611.42, 12440.52, 12442.49
05/16/12, 12617.32, 12722.63, 12597.34, 12598.55
05/15/12, 12695.05, 12758.43, 12608.16, 12632.00
05/14/12, 12818.49, 12818.86, 12661.48, 12695.35
05/11/12, 12851.79, 12918.01, 12779.28, 12820.60
05/10/12, 12831.58, 12931.71, 12820.30, 12855.04
05/09/12, 12921.81, 12921.81, 12748.48, 12835.06
05/08/12, 13000.73, 13000.73, 12810.39, 12932.09
05/07/12, 13035.85, 13049.09, 12970.00, 13008.53
05/04/12, 13204.62, 13205.00, 13022.34, 13038.27
05/03/12, 13267.59, 13284.09, 13175.64, 13206.59
05/02/12, 13278.11, 13278.11, 13192.21, 13268.57
05/01/12, 13214.16, 13338.66, 13174.65, 13279.32
04/30/12, 13228.31, 13228.76, 13176.01, 13213.63
04/27/12, 13204.70, 13266.68, 13192.21, 13228.31
04/26/12, 13090.11, 13227.82, 13075.96, 13204.62
04/25/12, 12997.69, 13105.70, 12993.60, 13090.72
04/24/12, 12927.77, 13050.30, 12926.49, 13001.56
04/23/12, 13028.20, 13028.20, 12845.58, 12927.17
04/20/12, 12964.48, 13082.54, 12964.25, 13029.26
04/19/12, 13028.73, 13080.20, 12896.82, 12964.10
04/18/12, 13114.56, 13114.56, 13027.49, 13032.75
04/17/12, 12921.79, 13131.36, 12921.79, 13115.54
04/16/12, 12850.88, 12986.77, 12850.80, 12921.41
04/13/12, 12986.20, 12986.35, 12845.28, 12849.59
04/12/12, 12806.45, 12986.96, 12806.30, 12986.58
04/11/12, 12716.92, 12844.82, 12716.92, 12805.39
04/10/12, 12929.44, 12929.59, 12710.56, 12715.93
04/09/12, 13057.57, 13057.72, 12903.78, 12929.59
04/05/12, 13067.18, 13088.11, 13012.46, 13060.14
04/04/12, 13198.19, 13198.19, 13020.86, 13074.75
04/03/12, 13258.96, 13265.36, 13131.21, 13199.55
04/02/12, 13211.36, 13297.11, 13153.69, 13264.49
03/30/12, 13147.94, 13224.49, 13147.78, 13212.04
03/29/12, 13125.99, 13151.57, 13032.67, 13145.82
03/28/12, 13195.39, 13212.64, 13069.26, 13126.21
03/27/12, 13242.09, 13264.98, 13194.33, 13197.73
03/26/12, 13082.62, 13243.86, 13082.39, 13241.63
03/23/12, 13045.99, 13099.91, 13002.77, 13080.73
03/22/12, 13124.40, 13124.47, 13017.42, 13046.14
03/21/12, 13170.79, 13190.02, 13112.93, 13124.62
03/20/12, 13238.45, 13238.45, 13123.38, 13170.19
03/19/12, 13231.94, 13269.71, 13208.63, 13239.13
03/16/12, 13253.51, 13289.08, 13231.45, 13232.62
03/15/12, 13192.97, 13253.51, 13170.19, 13252.76
